city,city_both,city_male,city_female,city_area,urban_both,urban_male,urban_female,urban_area,continent,date,code,country
Settat,240096.0,,,,622323.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Sidi Kacem,178389.0,,,,521390.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Sidi Slimane,142321.0,,,,328129.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Skhirate-Témara,629071.0,,,,695752.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Tanger,1152215.0,,,,1214841.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Taourirt,179837.0,,,,251706.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Taroudannt,286572.0,,,,852765.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Taza,216363.0,,,,501805.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Tétouan,420599.0,,,,578283.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Youssoufia,104868.0,,,,258409.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Beira,662453.203929184,332085.050099189,330368.153829995,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Chimoio,414853.0,205363.0,209490.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Lichinga,282409.134383433,137356.677799315,145052.456584118,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
MAPUTO,1124988.0,546311.0,578677.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Matola,1199022.87984609,578625.215893793,620397.663952299,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Maxixe,136887.0,63496.0,73391.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Nacala,324263.0,157662.0,166601.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Nampula,857380.0,422653.0,434727.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Pemba,223320.0,110726.0,112594.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Quelimane,387188.0,186997.0,200191.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Tete,349302.0,173505.0,175797.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
Xai-Xai,147885.0,68408.0,79477.0,,,,,,AFRICA,1 VII 2020,ESDF,Mozambique
WINDHOEK,506320.115548,256576.877168,249743.23838,,,,,,AFRICA,1 VII 2020,ESDF,Namibia
NIAMEY,1283888.0,639121.0,644767.0,,,,,,AFRICA,1 VII 2019,ESDJ,Niger
JUBA,230195.0,129427.0,100768.0,56.0,,,,,AFRICA,21 IV 2008,CDFC,Republic of South Sudan
Malakal,114528.0,60440.0,54088.0,25.0,,,,,AFRICA,21 IV 2008,CDFC,Republic of South Sudan
Wau,118331.0,63777.0,54554.0,75.0,,,,,AFRICA,21 IV 2008,CDFC,Republic of South Sudan
SAINT-DENIS,146985.0,68447.0,78537.5040900441,,179925.0,84554.0,95371.0,,AFRICA,1 I 2015,CDJC,Reunion
Saint-Paul,105967.0,52163.0,53804.0,,173967.0,85212.0,88755.0,,AFRICA,1 I 2015,CDJC,Reunion
KIGALI,859332.0,451673.0,407659.0,,,,,,AFRICA,15 VIII 2012,CDJC,Rwanda
JAMESTOWN,657.0,341.0,316.0,6.0,,,,,AFRICA,7 II 2016,CDJC,Saint Helena ex. dep.
SAO TOME,,,,,49957.0,24003.0,25954.0,,AFRICA,25 VIII 2001,CDJC,Sao Tome and Principe
DAKAR,1056009.0,526299.0,529710.0,,,,,,AFRICA,31 XII 2011,ESDJ,Senegal
Diourbel,279667.0,136961.0,142706.0,,,,,,AFRICA,31 XII 2011,ESDJ,Senegal
Guediawaye,317464.0,157992.0,159472.0,,,,,,AFRICA,31 XII 2011,ESDJ,Senegal
Kaolack,410577.0,199057.0,211520.0,,,,,,AFRICA,31 XII 2011,ESDJ,Senegal
Mbour,605346.0,307461.0,297885.0,,,,,,AFRICA,31 XII 2011,ESDJ,Senegal
Pikine,941245.0,472868.0,468377.0,,,,,,AFRICA,31 XII 2011,ESDJ,Senegal
